fox:FOXG_00002	ko:K20046
fox:FOXG_01748	ko:K14686
fox:FOXG_01749	ko:K00452
fox:FOXG_01750	ko:K01557
fox:FOXG_01751	ko:K14556
fox:FOXG_01752	ko:K05758
fox:FOXG_01757	ko:K12828
fox:FOXG_01758	ko:K03660
fox:FOXG_01759	ko:K12837
fox:FOXG_01760	ko:K02953
fox:FOXG_01761	ko:K14968
fox:FOXG_01762	ko:K15363
fox:FOXG_01765	ko:K10746
fox:FOXG_01766	ko:K14860
fox:FOXG_01767	ko:K15414
fox:FOXG_01768	ko:K20465
fox:FOXG_01770	ko:K14790
fox:FOXG_01774	ko:K18160
fox:FOXG_01775	ko:K20526
fox:FOXG_01777	ko:K01057
fox:FOXG_01780	ko:K28669
fox:FOXG_01782	ko:K24611
fox:FOXG_01784	ko:K01580
fox:FOXG_01785	ko:K13110
fox:FOXG_01786	ko:K02321
fox:FOXG_01788	ko:K05605
fox:FOXG_01789	ko:K11096
fox:FOXG_01790	ko:K00863
fox:FOXG_01791	ko:K08257
fox:FOXG_01794	ko:K10777
fox:FOXG_01798	ko:K18748
fox:FOXG_01799	ko:K18723
fox:FOXG_01804	ko:K02145
fox:FOXG_01805	ko:K00485
fox:FOXG_01806	ko:K12350
fox:FOXG_01808	ko:K27894
fox:FOXG_01810	ko:K06111
fox:FOXG_01813	ko:K12859
fox:FOXG_01819	ko:K17743
fox:FOXG_01822	ko:K25880
fox:FOXG_01825	ko:K13108
fox:FOXG_01829	ko:K14766
fox:FOXG_01832	ko:K18469
fox:FOXG_01835	ko:K15275
fox:FOXG_01836	ko:K11240
fox:FOXG_01838	ko:K10669
fox:FOXG_01841	ko:K20407
fox:FOXG_01842	ko:K08286
fox:FOXG_01844	ko:K10268
fox:FOXG_01846	ko:K15206
fox:FOXG_01850	ko:K17678
fox:FOXG_01852	ko:K17607
fox:FOXG_01853	ko:K07565
fox:FOXG_01854	ko:K00931
fox:FOXG_01855	ko:K18156
fox:FOXG_01856	ko:K08850
fox:FOXG_01857	ko:K01880
fox:FOXG_01858	ko:K19833
fox:FOXG_01859	ko:K17974
fox:FOXG_01860	ko:K26244
fox:FOXG_01861	ko:K26736
fox:FOXG_01862	ko:K11648
fox:FOXG_01863	ko:K11267
fox:FOXG_01865	ko:K00987
fox:FOXG_01866	ko:K21996
fox:FOXG_01867	ko:K00143
fox:FOXG_01869	ko:K15176
fox:FOXG_01870	ko:K00326
fox:FOXG_01873	ko:K20047
fox:FOXG_01874	ko:K09413
fox:FOXG_01875	ko:K19730
fox:FOXG_01877	ko:K20300
fox:FOXG_01878	ko:K07359
fox:FOXG_01880	ko:K28035
fox:FOXG_01883	ko:K03020
fox:FOXG_01884	ko:K03950
fox:FOXG_01885	ko:K12873
fox:FOXG_01888	ko:K00856
fox:FOXG_01889	ko:K02938
fox:FOXG_01893	ko:K03265
fox:FOXG_01894	ko:K27899
fox:FOXG_01896	ko:K02865
fox:FOXG_01897	ko:K08098
fox:FOXG_01898	ko:K03094
fox:FOXG_01899	ko:K07942
fox:FOXG_01907	ko:K11835
fox:FOXG_01908	ko:K01408
fox:FOXG_01910	ko:K03939
fox:FOXG_01912	ko:K14397
fox:FOXG_01914	ko:K18187
fox:FOXG_01916	ko:K24814
fox:FOXG_01919	ko:K25164
fox:FOXG_01926	ko:K14574
fox:FOXG_01927	ko:K02964
fox:FOXG_01930	ko:K15378
fox:FOXG_01933	ko:K05531
fox:FOXG_01935	ko:K01409
fox:FOXG_01936	ko:K02737
fox:FOXG_01937	ko:K28063
fox:FOXG_01943	ko:K05658
fox:FOXG_01944	ko:K01892
fox:FOXG_01946	ko:K08794
fox:FOXG_01947	ko:K10688
fox:FOXG_01948	ko:K20182
fox:FOXG_01951	ko:K02136
fox:FOXG_01952	ko:K03163
fox:FOXG_01955	ko:K21545
fox:FOXG_01956	ko:K06927
fox:FOXG_01957	ko:K01755
fox:FOXG_01959	ko:K19783
fox:FOXG_01961	ko:K01410
fox:FOXG_01962	ko:K17786
fox:FOXG_01963	ko:K05543
fox:FOXG_01965	ko:K22285
fox:FOXG_01966	ko:K12836
fox:FOXG_01968	ko:K20359
fox:FOXG_01970	ko:K10689
fox:FOXG_01971	ko:K05529
fox:FOXG_01972	ko:K12881
fox:FOXG_01975	ko:K01873
fox:FOXG_01976	ko:K12858
fox:FOXG_01977	ko:K17438
fox:FOXG_01978	ko:K17867
fox:FOXG_01979	ko:K06630
fox:FOXG_01980	ko:K22255
fox:FOXG_01981	ko:K14306
fox:FOXG_01983	ko:K03242
fox:FOXG_01985	ko:K03257
fox:FOXG_01988	ko:K26753
fox:FOXG_01994	ko:K08856
fox:FOXG_01995	ko:K01191
fox:FOXG_01998	ko:K02941
fox:FOXG_01999	ko:K15443
fox:FOXG_02000	ko:K09503
fox:FOXG_02003	ko:K00693
fox:FOXG_02004	ko:K14863
fox:FOXG_02005	ko:K20777
fox:FOXG_02006	ko:K03008
fox:FOXG_02008	ko:K08956
fox:FOXG_02009	ko:K24194
fox:FOXG_02010	ko:K10997
fox:FOXG_02011	ko:K00074
fox:FOXG_02019	ko:K11594
fox:FOXG_02020	ko:K02734
fox:FOXG_02021	ko:K14793
fox:FOXG_02022	ko:K08596
fox:FOXG_02023	ko:K12948
fox:FOXG_02024	ko:K12618
fox:FOXG_02025	ko:K10752
fox:FOXG_02030	ko:K00916
fox:FOXG_02031	ko:K07019
fox:FOXG_02032	ko:K14817
fox:FOXG_02033	ko:K03259
fox:FOXG_02034	ko:K12847
fox:FOXG_02035	ko:K14555
fox:FOXG_02039	ko:K00787
fox:FOXG_02042	ko:K03355
fox:FOXG_02045	ko:K17600
fox:FOXG_02046	ko:K02209
fox:FOXG_02047	ko:K28027
fox:FOXG_02048	ko:K15264
fox:FOXG_02052	ko:K05658
fox:FOXG_02054	ko:K26410
fox:FOXG_02055	ko:K10696
fox:FOXG_02056	ko:K15198
fox:FOXG_02057	ko:K10839
fox:FOXG_02060	ko:K02295
fox:FOXG_02062	ko:K14770
fox:FOXG_02064	ko:K09500
fox:FOXG_02065	ko:K11680
fox:FOXG_02068	ko:K02921
fox:FOXG_02071	ko:K17427
fox:FOXG_02072	ko:K06669
fox:FOXG_02073	ko:K15192
fox:FOXG_02074	ko:K09554
fox:FOXG_02077	ko:K00135
fox:FOXG_02078	ko:K13524
fox:FOXG_02080	ko:K24962
fox:FOXG_02083	ko:K12834
fox:FOXG_02085	ko:K16315
fox:FOXG_02086	ko:K14802
fox:FOXG_02090	ko:K12868
fox:FOXG_02092	ko:K11341
fox:FOXG_02093	ko:K17775
fox:FOXG_02094	ko:K19786
fox:FOXG_02095	ko:K15014
fox:FOXG_02098	ko:K01814
fox:FOXG_02102	ko:K13886
fox:FOXG_02103	ko:K11215
fox:FOXG_02106	ko:K24752
fox:FOXG_02107	ko:K11786
fox:FOXG_02109	ko:K10703
fox:FOXG_02111	ko:K09537
fox:FOXG_02114	ko:K22073
fox:FOXG_02116	ko:K14778
fox:FOXG_02117	ko:K08294
fox:FOXG_02118	ko:K06176
fox:FOXG_02120	ko:K09579
fox:FOXG_02121	ko:K02951
fox:FOXG_02122	ko:K02957
fox:FOXG_02124	ko:K15174
fox:FOXG_02126	ko:K07511
fox:FOXG_02128	ko:K01738
fox:FOXG_02130	ko:K02884
fox:FOXG_02132	ko:K21618
fox:FOXG_02134	ko:K02731
fox:FOXG_02136	ko:K10843
fox:FOXG_02137	ko:K24976
fox:FOXG_02142	ko:K01188
fox:FOXG_02143	ko:K14347
fox:FOXG_02147	ko:K04627
fox:FOXG_02149	ko:K21456
fox:FOXG_02151	ko:K00643
fox:FOXG_02153	ko:K14154
fox:FOXG_02154	ko:K03885
fox:FOXG_02155	ko:K14550
fox:FOXG_02159	ko:K14572
fox:FOXG_02160	ko:K02935
fox:FOXG_02161	ko:K15565
fox:FOXG_02162	ko:K00286
fox:FOXG_02163	ko:K11303
fox:FOXG_02164	ko:K28261
fox:FOXG_02166	ko:K04345
fox:FOXG_02167	ko:K10082
fox:FOXG_02169	ko:K17781
fox:FOXG_02170	ko:K13206
fox:FOXG_02171	ko:K12830
fox:FOXG_02172	ko:K17656
fox:FOXG_02175	ko:K06944
fox:FOXG_02178	ko:K12345
fox:FOXG_02180	ko:K03254
fox:FOXG_02181	ko:K07973
fox:FOXG_02183	ko:K06269
fox:FOXG_02184	ko:K11380
fox:FOXG_02192	ko:K00287
fox:FOXG_02193	ko:K13299
fox:FOXG_02195	ko:K22531
fox:FOXG_02200	ko:K05542
fox:FOXG_02202	ko:K13100
fox:FOXG_02203	ko:K09658
fox:FOXG_02212	ko:K02896
fox:FOXG_02213	ko:K09539
fox:FOXG_02215	ko:K10885
fox:FOXG_02218	ko:K01101
fox:FOXG_02220	ko:K03165
fox:FOXG_02226	ko:K11562
fox:FOXG_02229	ko:K24983
fox:FOXG_02230	ko:K14815
fox:FOXG_02231	ko:K11093
fox:FOXG_02232	ko:K17424
fox:FOXG_02233	ko:K01803
fox:FOXG_02240	ko:K17784
fox:FOXG_02242	ko:K04708
fox:FOXG_02251	ko:K00587
fox:FOXG_02252	ko:K11155
fox:FOXG_02253	ko:K15542
fox:FOXG_02254	ko:K01173
fox:FOXG_02255	ko:K07238
fox:FOXG_02256	ko:K09191
fox:FOXG_02257	ko:K03014
fox:FOXG_02259	ko:K01070
fox:FOXG_02262	ko:K09527
fox:FOXG_02263	ko:K15151
fox:FOXG_02267	ko:K00052
fox:FOXG_02272	ko:K11673
fox:FOXG_02274	ko:K13199
fox:FOXG_02280	ko:K14828
fox:FOXG_02281	ko:K21845
fox:FOXG_02282	ko:K14288
fox:FOXG_02286	ko:K01267
fox:FOXG_02293	ko:K02134
fox:FOXG_02298	ko:K07953
fox:FOXG_02300	ko:K09540
fox:FOXG_02301	ko:K28415
fox:FOXG_02302	ko:K13509
fox:FOXG_02304	ko:K07943
fox:FOXG_02307	ko:K08287
fox:FOXG_02308	ko:K23503
fox:FOXG_02309	ko:K00784
fox:FOXG_02313	ko:K24909
fox:FOXG_02315	ko:K01649
fox:FOXG_02317	ko:K13181
fox:FOXG_02318	ko:K10436
fox:FOXG_02319	ko:K08502
fox:FOXG_02321	ko:K03671
fox:FOXG_02330	ko:K00002
fox:FOXG_02332	ko:K03362
fox:FOXG_02336	ko:K28100
fox:FOXG_02337	ko:K26141
fox:FOXG_02339	ko:K07375
fox:FOXG_02340	ko:K01113
fox:FOXG_02345	ko:K00988
fox:FOXG_02347	ko:K10089
fox:FOXG_02348	ko:K00222
fox:FOXG_02349	ko:K05349
fox:FOXG_02357	ko:K03781
fox:FOXG_02365	ko:K10426
fox:FOXG_02366	ko:K02993
fox:FOXG_02368	ko:K06173
fox:FOXG_02370	ko:K10259
fox:FOXG_02373	ko:K10661
fox:FOXG_02375	ko:K11262
fox:FOXG_02377	ko:K26405
fox:FOXG_02381	ko:K03325
fox:FOXG_02383	ko:K22075
fox:FOXG_02384	ko:K01887
fox:FOXG_02385	ko:K08994
fox:FOXG_02389	ko:K08870
fox:FOXG_02399	ko:K01265
fox:FOXG_02405	ko:K03781
fox:FOXG_02406	ko:K01621
fox:FOXG_02410	ko:K00698
fox:FOXG_02411	ko:K28030
fox:FOXG_02417	ko:K01264
fox:FOXG_02418	ko:K01697
fox:FOXG_02419	ko:K12272
fox:FOXG_02420	ko:K20032
fox:FOXG_02425	ko:K00306
fox:FOXG_02428	ko:K09578
fox:FOXG_02429	ko:K03017
fox:FOXG_02431	ko:K11429
fox:FOXG_02433	ko:K01264
fox:FOXG_02436	ko:K01657
fox:FOXG_02442	ko:K09983
fox:FOXG_02443	ko:K17362
fox:FOXG_02449	ko:K07241
fox:FOXG_02459	ko:K16261
fox:FOXG_02463	ko:K07178
fox:FOXG_02467	ko:K22124
fox:FOXG_02469	ko:K14213
fox:FOXG_02474	ko:K28030
fox:FOXG_02475	ko:K28102
fox:FOXG_02476	ko:K03448
fox:FOXG_02480	ko:K01784
fox:FOXG_02500	ko:K01209
fox:FOXG_02507	ko:K08192
fox:FOXG_02508	ko:K01565
fox:FOXG_02509	ko:K18580
fox:FOXG_02510	ko:K08192
fox:FOXG_02521	ko:K09248
fox:FOXG_02523	ko:K08192
fox:FOXG_02524	ko:K00102
fox:FOXG_02528	ko:K16261
fox:FOXG_02529	ko:K14454
fox:FOXG_02530	ko:K02510
fox:FOXG_02531	ko:K08192
fox:FOXG_02536	ko:K08192
fox:FOXG_02544	ko:K04711
fox:FOXG_02555	ko:K05349
fox:FOXG_02566	ko:K28521
fox:FOXG_02587	ko:K15102
fox:FOXG_02594	ko:K01192
fox:FOXG_02598	ko:K00101
fox:FOXG_02600	ko:K00844
fox:FOXG_02601	ko:K02564
fox:FOXG_02604	ko:K01190
fox:FOXG_02606	ko:K01834
fox:FOXG_02610	ko:K16261
fox:FOXG_02612	ko:K03305
fox:FOXG_02613	ko:K17103
fox:FOXG_02619	ko:K19564
fox:FOXG_02620	ko:K00101
fox:FOXG_02622	ko:K20039
fox:FOXG_02623	ko:K03186
fox:FOXG_02630	ko:K01061
fox:FOXG_02631	ko:K08192
fox:FOXG_02646	ko:K01049
fox:FOXG_02661	ko:K15303
fox:FOXG_02663	ko:K01187
fox:FOXG_02674	ko:K08192
fox:FOXG_02677	ko:K07407
fox:FOXG_02680	ko:K08150
fox:FOXG_02694	ko:K01179
fox:FOXG_02720	ko:K05994
fox:FOXG_02727	ko:K01426
fox:FOXG_02728	ko:K28508
fox:FOXG_02734	ko:K05349
fox:FOXG_02758	ko:K18740
fox:FOXG_02761	ko:K13953
fox:FOXG_02765	ko:K08192
fox:FOXG_02776	ko:K07824
fox:FOXG_02777	ko:K01531
fox:FOXG_02781	ko:K00010
fox:FOXG_02789	ko:K10801
fox:FOXG_02792	ko:K00101
fox:FOXG_02794	ko:K03750
fox:FOXG_02808	ko:K08139
fox:FOXG_02810	ko:K11662
fox:FOXG_02817	ko:K08288
fox:FOXG_02819	ko:K25186
fox:FOXG_02822	ko:K08900
fox:FOXG_02825	ko:K01301
fox:FOXG_02836	ko:K03549
fox:FOXG_02839	ko:K00485
fox:FOXG_02841	ko:K03514
fox:FOXG_02843	ko:K03448
fox:FOXG_02845	ko:K07243
fox:FOXG_02846	ko:K19791
fox:FOXG_02860	ko:K20363
fox:FOXG_02861	ko:K11493
fox:FOXG_02866	ko:K23504
fox:FOXG_02875	ko:K01501
fox:FOXG_02876	ko:K19564
fox:FOXG_02882	ko:K22134
fox:FOXG_02889	ko:K09704
fox:FOXG_02909	ko:K06978
fox:FOXG_02912	ko:K19357
fox:FOXG_02916	ko:K19245
fox:FOXG_02920	ko:K01233
fox:FOXG_02921	ko:K22277
fox:FOXG_02924	ko:K01067
fox:FOXG_02932	ko:K07101
fox:FOXG_02936	ko:K09659
fox:FOXG_02940	ko:K01501
fox:FOXG_02944	ko:K17362
fox:FOXG_02952	ko:K19305
fox:FOXG_02954	ko:K07513
fox:FOXG_02969	ko:K03144
fox:FOXG_02971	ko:K28098
fox:FOXG_02975	ko:K07025
fox:FOXG_02978	ko:K20291
fox:FOXG_02979	ko:K08711
fox:FOXG_02985	ko:K08711
fox:FOXG_02986	ko:K07277
fox:FOXG_02987	ko:K04554
fox:FOXG_02990	ko:K01922
fox:FOXG_02993	ko:K09043
fox:FOXG_02997	ko:K08141
fox:FOXG_02999	ko:K01811
fox:FOXG_03003	ko:K22134
fox:FOXG_03004	ko:K20308
fox:FOXG_03005	ko:K17422
fox:FOXG_03007	ko:K14800
fox:FOXG_03012	ko:K09529
fox:FOXG_03014	ko:K01180
fox:FOXG_03015	ko:K07300
fox:FOXG_03016	ko:K14567
fox:FOXG_03017	ko:K02259
fox:FOXG_03018	ko:K04567
fox:FOXG_03020	ko:K11585
fox:FOXG_03023	ko:K13507
fox:FOXG_03024	ko:K10632
fox:FOXG_03028	ko:K05954
fox:FOXG_03030	ko:K00966
fox:FOXG_03031	ko:K00844
fox:FOXG_03032	ko:K20793
fox:FOXG_03034	ko:K12733
fox:FOXG_03035	ko:K09595
fox:FOXG_03036	ko:K06133
fox:FOXG_03040	ko:K20362
fox:FOXG_03041	ko:K13431
fox:FOXG_03046	ko:K05857
fox:FOXG_03056	ko:K24971
fox:FOXG_03058	ko:K01372
fox:FOXG_03059	ko:K01951
fox:FOXG_03065	ko:K14758
fox:FOXG_03067	ko:K04345
fox:FOXG_03068	ko:K19951
fox:FOXG_03072	ko:K18178
fox:FOXG_03074	ko:K00616
fox:FOXG_03075	ko:K15979
fox:FOXG_03076	ko:K04565
fox:FOXG_03079	ko:K10352
fox:FOXG_03081	ko:K11699
fox:FOXG_03082	ko:K00102
fox:FOXG_03083	ko:K02987
fox:FOXG_03085	ko:K01679
fox:FOXG_03089	ko:K08869
fox:FOXG_03092	ko:K00993
fox:FOXG_03093	ko:K09043
fox:FOXG_03094	ko:K22503
fox:FOXG_03095	ko:K07204
fox:FOXG_03097	ko:K22803
fox:FOXG_03098	ko:K02515
fox:FOXG_03099	ko:K01638
fox:FOXG_03102	ko:K12412
fox:FOXG_03104	ko:K00107
fox:FOXG_03106	ko:K27385
fox:FOXG_03107	ko:K11227
fox:FOXG_03108	ko:K24139
fox:FOXG_03110	ko:K01968
fox:FOXG_03120	ko:K09680
fox:FOXG_03122	ko:K07023
fox:FOXG_03123	ko:K14171
fox:FOXG_03124	ko:K02896
fox:FOXG_03125	ko:K15440
fox:FOXG_03126	ko:K01527
fox:FOXG_03131	ko:K11377
fox:FOXG_03132	ko:K02922
fox:FOXG_03134	ko:K05609
fox:FOXG_03137	ko:K03540
fox:FOXG_03138	ko:K12812
fox:FOXG_03139	ko:K21197
fox:FOXG_03141	ko:K16075
fox:FOXG_03142	ko:K10848
fox:FOXG_03144	ko:K23612
fox:FOXG_03145	ko:K03236
fox:FOXG_03146	ko:K19877
fox:FOXG_03149	ko:K10706
fox:FOXG_03151	ko:K00558
fox:FOXG_03155	ko:K03681
fox:FOXG_03158	ko:K01164
fox:FOXG_03161	ko:K20643
fox:FOXG_03164	ko:K06684
fox:FOXG_03165	ko:K09184
fox:FOXG_03168	ko:K08793
fox:FOXG_03172	ko:K00861
fox:FOXG_03173	ko:K27389
fox:FOXG_03177	ko:K01210
fox:FOXG_03178	ko:K00167
fox:FOXG_03179	ko:K10364
fox:FOXG_03180	ko:K23490
fox:FOXG_03181	ko:K03137
fox:FOXG_03184	ko:K20524
fox:FOXG_03185	ko:K01874
fox:FOXG_03186	ko:K00551
fox:FOXG_03190	ko:K01811
fox:FOXG_03192	ko:K17877
fox:FOXG_03194	ko:K00844
fox:FOXG_03195	ko:K02564
fox:FOXG_03197	ko:K01443
fox:FOXG_03198	ko:K01207
fox:FOXG_03201	ko:K03657
fox:FOXG_03206	ko:K00327
fox:FOXG_03209	ko:K08150
fox:FOXG_03210	ko:K00010
fox:FOXG_03211	ko:K01193
fox:FOXG_03214	ko:K02992
fox:FOXG_03218	ko:K13126
fox:FOXG_03219	ko:K10589
fox:FOXG_03220	ko:K09704
fox:FOXG_03221	ko:K00311
fox:FOXG_03223	ko:K03120
fox:FOXG_03225	ko:K00601
fox:FOXG_03226	ko:K12842
fox:FOXG_03229	ko:K17878
fox:FOXG_03232	ko:K23948
fox:FOXG_03236	ko:K15165
fox:FOXG_03237	ko:K14788
fox:FOXG_03241	ko:K03037
fox:FOXG_03242	ko:K00565
fox:FOXG_03243	ko:K07870
fox:FOXG_03244	ko:K24765
fox:FOXG_03245	ko:K20062
fox:FOXG_03249	ko:K10563
fox:FOXG_03251	ko:K00591
fox:FOXG_03253	ko:K22756
fox:FOXG_03255	ko:K18932
fox:FOXG_03256	ko:K00772
fox:FOXG_03260	ko:K00306
fox:FOXG_03261	ko:K00380
fox:FOXG_03265	ko:K17686
fox:FOXG_03266	ko:K06656
fox:FOXG_03267	ko:K04563
fox:FOXG_03269	ko:K17803
fox:FOXG_03272	ko:K12604
fox:FOXG_03274	ko:K19365
fox:FOXG_03276	ko:K28773
fox:FOXG_03277	ko:K02936
fox:FOXG_03278	ko:K14168
fox:FOXG_03280	ko:K11378
fox:FOXG_03289	ko:K16466
fox:FOXG_03290	ko:K12471
fox:FOXG_03293	ko:K15110
fox:FOXG_03294	ko:K24810
fox:FOXG_03295	ko:K08331
fox:FOXG_03296	ko:K04705
fox:FOXG_03298	ko:K14651
fox:FOXG_03299	ko:K05986
fox:FOXG_03300	ko:K23678
fox:FOXG_03301	ko:K00133
fox:FOXG_03312	ko:K01969
fox:FOXG_03313	ko:K00253
fox:FOXG_03314	ko:K17738
fox:FOXG_03319	ko:K19828
fox:FOXG_03323	ko:K07512
fox:FOXG_03324	ko:K00914
fox:FOXG_03328	ko:K22825
fox:FOXG_03330	ko:K17788
fox:FOXG_03331	ko:K15450
fox:FOXG_03332	ko:K00390
fox:FOXG_03333	ko:K01079
fox:FOXG_03336	ko:K03235
fox:FOXG_03339	ko:K19519
fox:FOXG_03340	ko:K14325
fox:FOXG_03343	ko:K08513
fox:FOXG_03345	ko:K08257
fox:FOXG_03352	ko:K15134
fox:FOXG_03354	ko:K01897
fox:FOXG_03356	ko:K12182
fox:FOXG_03362	ko:K15153
fox:FOXG_03363	ko:K03019
fox:FOXG_03366	ko:K03859
fox:FOXG_03369	ko:K20409
fox:FOXG_03370	ko:K10580
fox:FOXG_03373	ko:K02138
fox:FOXG_03374	ko:K03626
fox:FOXG_03375	ko:K02875
fox:FOXG_03380	ko:K03946
fox:FOXG_03381	ko:K22139
fox:FOXG_03385	ko:K01052
fox:FOXG_03386	ko:K19842
fox:FOXG_03387	ko:K02155
fox:FOXG_03389	ko:K28669
fox:FOXG_03390	ko:K12780
fox:FOXG_03391	ko:K23460
fox:FOXG_03392	ko:K12586
fox:FOXG_03401	ko:K20456
fox:FOXG_03402	ko:K01183
fox:FOXG_03403	ko:K06911
fox:FOXG_03407	ko:K22733
fox:FOXG_03408	ko:K02150
fox:FOXG_03410	ko:K01530
fox:FOXG_03415	ko:K10419
fox:FOXG_03416	ko:K14827
fox:FOXG_03417	ko:K11594
fox:FOXG_03418	ko:K01610
fox:FOXG_03419	ko:K03267
fox:FOXG_03423	ko:K03115
fox:FOXG_03425	ko:K00077
fox:FOXG_03436	ko:K01764
fox:FOXG_03437	ko:K08869
fox:FOXG_03439	ko:K12839
fox:FOXG_03440	ko:K03593
fox:FOXG_03441	ko:K14782
fox:FOXG_03444	ko:K16231
fox:FOXG_03447	ko:K15104
fox:FOXG_03449	ko:K05643
fox:FOXG_03450	ko:K10838
fox:FOXG_03463	ko:K00451
fox:FOXG_03469	ko:K00281
fox:FOXG_03470	ko:K02437
fox:FOXG_03471	ko:K00600
fox:FOXG_03476	ko:K19564
fox:FOXG_03480	ko:K01535
fox:FOXG_03482	ko:K08192
fox:FOXG_03484	ko:K13721
fox:FOXG_03487	ko:K01626
fox:FOXG_03490	ko:K02873
fox:FOXG_03491	ko:K27817
fox:FOXG_03492	ko:K17805
fox:FOXG_03496	ko:K01942
fox:FOXG_03509	ko:K03372
fox:FOXG_03510	ko:K11552
fox:FOXG_03515	ko:K03231
fox:FOXG_03517	ko:K24127
fox:FOXG_03518	ko:K12832
fox:FOXG_03523	ko:K07836
fox:FOXG_03525	ko:K21842
fox:FOXG_03532	ko:K05765
fox:FOXG_03534	ko:K05658
fox:FOXG_03541	ko:K08711
fox:FOXG_03547	ko:K03448
fox:FOXG_03553	ko:K17267
fox:FOXG_03554	ko:K07556
fox:FOXG_03560	ko:K26089
fox:FOXG_03567	ko:K14784
fox:FOXG_03568	ko:K20522
fox:FOXG_03569	ko:K01720
fox:FOXG_03570	ko:K25656
fox:FOXG_03571	ko:K13690
fox:FOXG_03574	ko:K14789
fox:FOXG_03575	ko:K04392
fox:FOXG_03578	ko:K14998
fox:FOXG_03580	ko:K17656
fox:FOXG_03581	ko:K27349
fox:FOXG_03583	ko:K22758
fox:FOXG_03584	ko:K01893
fox:FOXG_03585	ko:K12592
fox:FOXG_03586	ko:K17665
fox:FOXG_03587	ko:K06875
fox:FOXG_03588	ko:K18586
fox:FOXG_03592	ko:K12820
fox:FOXG_03596	ko:K07342
fox:FOXG_03597	ko:K11801
fox:FOXG_03598	ko:K23541
fox:FOXG_03600	ko:K00958
fox:FOXG_03604	ko:K15447
fox:FOXG_03605	ko:K03113
fox:FOXG_03610	ko:K17801
fox:FOXG_03611	ko:K18159
fox:FOXG_03612	ko:K03352
fox:FOXG_03613	ko:K02266
fox:FOXG_03614	ko:K10772
fox:FOXG_03618	ko:K20040
fox:FOXG_03619	ko:K02889
fox:FOXG_03620	ko:K02997
fox:FOXG_03621	ko:K12819
fox:FOXG_03622	ko:K02350
fox:FOXG_03624	ko:K08343
fox:FOXG_03625	ko:K13127
fox:FOXG_03632	ko:K28035
fox:FOXG_03637	ko:K17991
fox:FOXG_03639	ko:K18550
fox:FOXG_03640	ko:K01739
fox:FOXG_03641	ko:K20223
fox:FOXG_03645	ko:K03509
fox:FOXG_03646	ko:K18932
fox:FOXG_03647	ko:K06101
fox:FOXG_03648	ko:K19996
fox:FOXG_03650	ko:K05755
fox:FOXG_03651	ko:K11843
fox:FOXG_03653	ko:K22315
fox:FOXG_03660	ko:K18726
fox:FOXG_03661	ko:K12572
fox:FOXG_03662	ko:K12626
fox:FOXG_03664	ko:K15116
fox:FOXG_03665	ko:K17918
fox:FOXG_03666	ko:K12825
fox:FOXG_03668	ko:K00728
fox:FOXG_03669	ko:K19940
fox:FOXG_03670	ko:K03327
fox:FOXG_03674	ko:K08490
fox:FOXG_03675	ko:K19634
fox:FOXG_03676	ko:K00008
fox:FOXG_03677	ko:K00065
fox:FOXG_03678	ko:K00621
fox:FOXG_03682	ko:K11233
fox:FOXG_03690	ko:K15441
fox:FOXG_03700	ko:K13719
fox:FOXG_03701	ko:K11756
fox:FOXG_03702	ko:K28105
fox:FOXG_03703	ko:K10875
fox:FOXG_03704	ko:K14854
fox:FOXG_03706	ko:K16639
fox:FOXG_03707	ko:K11366
fox:FOXG_03708	ko:K22855
fox:FOXG_03709	ko:K03953
fox:FOXG_03710	ko:K03039
fox:FOXG_03711	ko:K05289
fox:FOXG_03713	ko:K01681
fox:FOXG_03714	ko:K14821
fox:FOXG_03715	ko:K02307
fox:FOXG_03719	ko:K26957
fox:FOXG_03721	ko:K00706
fox:FOXG_03722	ko:K00654
fox:FOXG_03726	ko:K20222
fox:FOXG_03728	ko:K11718
fox:FOXG_03729	ko:K05236
fox:FOXG_03730	ko:K03031
fox:FOXG_03740	ko:K05768
fox:FOXG_03744	ko:K21544
fox:FOXG_03746	ko:K16055
fox:FOXG_03756	ko:K26151
fox:FOXG_03767	ko:K01759
fox:FOXG_03770	ko:K10534
fox:FOXG_03772	ko:K01560
fox:FOXG_03774	ko:K24160
fox:FOXG_03775	ko:K08192
fox:FOXG_03780	ko:K07748
fox:FOXG_03785	ko:K01900
fox:FOXG_03786	ko:K01937
fox:FOXG_03787	ko:K01899
fox:FOXG_03789	ko:K08176
fox:FOXG_03793	ko:K22993
fox:FOXG_03796	ko:K19329
fox:FOXG_03797	ko:K03377
fox:FOXG_03798	ko:K18384
fox:FOXG_03800	ko:K00306
fox:FOXG_03807	ko:K08192
fox:FOXG_03809	ko:K14709
fox:FOXG_03810	ko:K06123
fox:FOXG_03812	ko:K14262
fox:FOXG_03818	ko:K03361
fox:FOXG_03828	ko:K16261
fox:FOXG_03837	ko:K25365
fox:FOXG_03838	ko:K03327
fox:FOXG_03839	ko:K19564
fox:FOXG_03843	ko:K08197
fox:FOXG_03859	ko:K08141
fox:FOXG_03862	ko:K09680
fox:FOXG_03863	ko:K13953
fox:FOXG_03874	ko:K00621
fox:FOXG_03875	ko:K08141
fox:FOXG_03882	ko:K03448
fox:FOXG_03887	ko:K00232
fox:FOXG_03891	ko:K08192
