fgr:FGSG_00017	ko:K01293
fgr:FGSG_01873	ko:K09313
fgr:FGSG_01874	ko:K20177
fgr:FGSG_01875	ko:K17878
fgr:FGSG_01881	ko:K10601
fgr:FGSG_01882	ko:K00750
fgr:FGSG_01884	ko:K01054
fgr:FGSG_01885	ko:K05657
fgr:FGSG_01886	ko:K15559
fgr:FGSG_01890	ko:K08489
fgr:FGSG_01891	ko:K02183
fgr:FGSG_01892	ko:K01230
fgr:FGSG_01893	ko:K12391
fgr:FGSG_01896	ko:K10981
fgr:FGSG_01897	ko:K00799
fgr:FGSG_01898	ko:K08783
fgr:FGSG_01900	ko:K03108
fgr:FGSG_01903	ko:K03136
fgr:FGSG_01906	ko:K17972
fgr:FGSG_01908	ko:K03364
fgr:FGSG_01910	ko:K06636
fgr:FGSG_01911	ko:K20475
fgr:FGSG_01912	ko:K03938
fgr:FGSG_01915	ko:K09425
fgr:FGSG_01917	ko:K14006
fgr:FGSG_01919	ko:K07195
fgr:FGSG_01920	ko:K02541
fgr:FGSG_01923	ko:K17261
fgr:FGSG_01924	ko:K00624
fgr:FGSG_01925	ko:K11649
fgr:FGSG_01926	ko:K03522
fgr:FGSG_01927	ko:K18914
fgr:FGSG_01929	ko:K10858
fgr:FGSG_01931	ko:K23544
fgr:FGSG_01932	ko:K01760
fgr:FGSG_01933	ko:K22530
fgr:FGSG_01935	ko:K05285
fgr:FGSG_01939	ko:K00618
fgr:FGSG_01941	ko:K03949
fgr:FGSG_01942	ko:K15222
fgr:FGSG_01944	ko:K22943
fgr:FGSG_01946	ko:K07300
fgr:FGSG_01947	ko:K10534
fgr:FGSG_01948	ko:K14327
fgr:FGSG_01949	ko:K00698
fgr:FGSG_01950	ko:K09489
fgr:FGSG_01953	ko:K20372
fgr:FGSG_01954	ko:K20298
fgr:FGSG_01955	ko:K03263
fgr:FGSG_01956	ko:K02927
fgr:FGSG_01957	ko:K22940
fgr:FGSG_01959	ko:K09831
fgr:FGSG_01962	ko:K01940
fgr:FGSG_01964	ko:K00698
fgr:FGSG_01967	ko:K01092
fgr:FGSG_01968	ko:K11090
fgr:FGSG_01969	ko:K16342
fgr:FGSG_01972	ko:K14338
fgr:FGSG_01973	ko:K01115
fgr:FGSG_01975	ko:K24279
fgr:FGSG_01976	ko:K24278
fgr:FGSG_01981	ko:K00236
fgr:FGSG_01986	ko:K08192
fgr:FGSG_01988	ko:K00505
fgr:FGSG_01990	ko:K19564
fgr:FGSG_02000	ko:K00799
fgr:FGSG_02001	ko:K01613
fgr:FGSG_02010	ko:K03130
fgr:FGSG_02011	ko:K17917
fgr:FGSG_02014	ko:K04079
fgr:FGSG_02016	ko:K00637
fgr:FGSG_02018	ko:K20523
fgr:FGSG_02019	ko:K18693
fgr:FGSG_02022	ko:K22832
fgr:FGSG_02025	ko:K06185
fgr:FGSG_02026	ko:K11665
fgr:FGSG_02028	ko:K03062
fgr:FGSG_02029	ko:K04649
fgr:FGSG_02030	ko:K01899
fgr:FGSG_02034	ko:K13953
fgr:FGSG_02040	ko:K07739
fgr:FGSG_02043	ko:K12603
fgr:FGSG_02047	ko:K24766
fgr:FGSG_02051	ko:K04564
fgr:FGSG_02054	ko:K10405
fgr:FGSG_02055	ko:K22831
fgr:FGSG_02056	ko:K01687
fgr:FGSG_02058	ko:K01358
fgr:FGSG_02059	ko:K07407
fgr:FGSG_02060	ko:K23114
fgr:FGSG_02063	ko:K18123
fgr:FGSG_02067	ko:K01193
fgr:FGSG_02070	ko:K08192
fgr:FGSG_02072	ko:K19386
fgr:FGSG_02073	ko:K13333
fgr:FGSG_02090	ko:K01099
fgr:FGSG_02092	ko:K20120
fgr:FGSG_02093	ko:K01056
fgr:FGSG_02094	ko:K03320
fgr:FGSG_02095	ko:K03360
fgr:FGSG_02097	ko:K03676
fgr:FGSG_02099	ko:K02872
fgr:FGSG_02100	ko:K12274
fgr:FGSG_02105	ko:K11826
fgr:FGSG_02108	ko:K09958
fgr:FGSG_02126	ko:K06634
fgr:FGSG_02133	ko:K09252
fgr:FGSG_02137	ko:K00326
fgr:FGSG_02139	ko:K05665
fgr:FGSG_02142	ko:K19791
fgr:FGSG_02143	ko:K07243
fgr:FGSG_02146	ko:K01027
fgr:FGSG_02149	ko:K13577
fgr:FGSG_02160	ko:K00128
fgr:FGSG_02163	ko:K14708
fgr:FGSG_02173	ko:K26550
fgr:FGSG_02189	ko:K01444
fgr:FGSG_02191	ko:K05292
fgr:FGSG_02206	ko:K25365
fgr:FGSG_02207	ko:K03327
fgr:FGSG_02208	ko:K19564
fgr:FGSG_02212	ko:K08900
fgr:FGSG_02217	ko:K03781
fgr:FGSG_02229	ko:K16261
fgr:FGSG_02233	ko:K20221
fgr:FGSG_02237	ko:K03361
fgr:FGSG_02244	ko:K14262
fgr:FGSG_02247	ko:K06123
fgr:FGSG_02248	ko:K14709
fgr:FGSG_02250	ko:K08192
fgr:FGSG_02252	ko:K08197
fgr:FGSG_02264	ko:K19564
fgr:FGSG_02271	ko:K00276
fgr:FGSG_02272	ko:K19564
fgr:FGSG_02273	ko:K00128
fgr:FGSG_02278	ko:K19564
fgr:FGSG_02279	ko:K00276
fgr:FGSG_02287	ko:K00232
fgr:FGSG_02291	ko:K13953
fgr:FGSG_02292	ko:K08141
fgr:FGSG_02296	ko:K00128
fgr:FGSG_02303	ko:K18660
fgr:FGSG_02304	ko:K00819
fgr:FGSG_02305	ko:K26141
fgr:FGSG_02306	ko:K00318
fgr:FGSG_02308	ko:K20498
fgr:FGSG_02312	ko:K08141
fgr:FGSG_02314	ko:K15855
fgr:FGSG_02322	ko:K22134
fgr:FGSG_02327	ko:K00485
fgr:FGSG_02339	ko:K01193
fgr:FGSG_02342	ko:K08095
fgr:FGSG_02346	ko:K00222
fgr:FGSG_02347	ko:K00451
fgr:FGSG_02349	ko:K01866
fgr:FGSG_02352	ko:K01647
fgr:FGSG_02355	ko:K08678
fgr:FGSG_02358	ko:K08141
fgr:FGSG_02379	ko:K19823
fgr:FGSG_02382	ko:K08192
fgr:FGSG_02383	ko:K01488
fgr:FGSG_02386	ko:K22539
fgr:FGSG_02392	ko:K00128
fgr:FGSG_02395	ko:K15417
fgr:FGSG_02399	ko:K08850
fgr:FGSG_02400	ko:K01537
fgr:FGSG_02403	ko:K03671
fgr:FGSG_02421	ko:K16219
fgr:FGSG_02426	ko:K14640
fgr:FGSG_02439	ko:K28030
fgr:FGSG_02454	ko:K00949
fgr:FGSG_02455	ko:K17782
fgr:FGSG_02460	ko:K14950
fgr:FGSG_02461	ko:K00026
fgr:FGSG_02467	ko:K20247
fgr:FGSG_02469	ko:K03146
fgr:FGSG_02470	ko:K02542
fgr:FGSG_02473	ko:K02139
fgr:FGSG_02474	ko:K03937
fgr:FGSG_02475	ko:K23338
fgr:FGSG_02476	ko:K00876
fgr:FGSG_02477	ko:K03885
fgr:FGSG_02478	ko:K14840
fgr:FGSG_02480	ko:K01807
fgr:FGSG_02481	ko:K22724
fgr:FGSG_02482	ko:K00381
fgr:FGSG_02483	ko:K00698
fgr:FGSG_02488	ko:K08832
fgr:FGSG_02489	ko:K20059
fgr:FGSG_02491	ko:K09880
fgr:FGSG_02492	ko:K18849
fgr:FGSG_02493	ko:K02893
fgr:FGSG_02494	ko:K17780
fgr:FGSG_02495	ko:K16073
fgr:FGSG_02496	ko:K12946
fgr:FGSG_02497	ko:K03868
fgr:FGSG_02499	ko:K15015
fgr:FGSG_02500	ko:K14532
fgr:FGSG_02502	ko:K00227
fgr:FGSG_02503	ko:K02903
fgr:FGSG_02504	ko:K00026
fgr:FGSG_02505	ko:K20304
fgr:FGSG_02506	ko:K11788
fgr:FGSG_02507	ko:K04706
fgr:FGSG_02509	ko:K05310
fgr:FGSG_02510	ko:K06678
fgr:FGSG_02511	ko:K14573
fgr:FGSG_02513	ko:K22733
fgr:FGSG_02518	ko:K09272
fgr:FGSG_02519	ko:K17900
fgr:FGSG_02520	ko:K11664
fgr:FGSG_02522	ko:K04713
fgr:FGSG_02525	ko:K11559
fgr:FGSG_02528	ko:K03849
fgr:FGSG_02529	ko:K10080
fgr:FGSG_02530	ko:K14213
fgr:FGSG_02532	ko:K12175
fgr:FGSG_02533	ko:K12817
fgr:FGSG_02534	ko:K14324
fgr:FGSG_02536	ko:K12856
fgr:FGSG_02539	ko:K00077
fgr:FGSG_02540	ko:K10841
fgr:FGSG_02541	ko:K02955
fgr:FGSG_02542	ko:K02937
fgr:FGSG_02543	ko:K22072
fgr:FGSG_02544	ko:K03252
fgr:FGSG_02553	ko:K16732
fgr:FGSG_02555	ko:K01886
fgr:FGSG_02561	ko:K14792
fgr:FGSG_02563	ko:K01412
fgr:FGSG_02564	ko:K23787
fgr:FGSG_02565	ko:K20180
fgr:FGSG_02567	ko:K11427
fgr:FGSG_02570	ko:K14536
fgr:FGSG_02571	ko:K15029
fgr:FGSG_02575	ko:K03258
fgr:FGSG_02580	ko:K08141
fgr:FGSG_02584	ko:K09613
fgr:FGSG_02588	ko:K02966
fgr:FGSG_02589	ko:K14709
fgr:FGSG_02590	ko:K17774
fgr:FGSG_02593	ko:K08744
fgr:FGSG_02594	ko:K03495
fgr:FGSG_02595	ko:K12479
fgr:FGSG_02596	ko:K17764
fgr:FGSG_02597	ko:K08658
fgr:FGSG_02598	ko:K15356
fgr:FGSG_02600	ko:K08967
fgr:FGSG_02601	ko:K13989
fgr:FGSG_02602	ko:K11495
fgr:FGSG_02603	ko:K01262
fgr:FGSG_02605	ko:K01867
fgr:FGSG_02606	ko:K02946
fgr:FGSG_02608	ko:K08066
fgr:FGSG_02609	ko:K19985
fgr:FGSG_02621	ko:K11979
fgr:FGSG_02622	ko:K02540
fgr:FGSG_02624	ko:K22068
fgr:FGSG_02625	ko:K17842
fgr:FGSG_02629	ko:K07107
fgr:FGSG_02630	ko:K15454
fgr:FGSG_02632	ko:K05349
fgr:FGSG_02636	ko:K06316
fgr:FGSG_02637	ko:K14811
fgr:FGSG_02639	ko:K02537
fgr:FGSG_02640	ko:K11836
fgr:FGSG_02641	ko:K08139
fgr:FGSG_02646	ko:K09250
fgr:FGSG_02648	ko:K12857
fgr:FGSG_02649	ko:K20302
fgr:FGSG_02655	ko:K11213
fgr:FGSG_02656	ko:K12183
fgr:FGSG_02657	ko:K00463
fgr:FGSG_02659	ko:K03010
fgr:FGSG_02661	ko:K02152
fgr:FGSG_02662	ko:K12864
fgr:FGSG_02664	ko:K21594
fgr:FGSG_02668	ko:K17862
fgr:FGSG_02675	ko:K28508
fgr:FGSG_02677	ko:K01536
fgr:FGSG_02678	ko:K01505
fgr:FGSG_02686	ko:K01166
fgr:FGSG_02692	ko:K23516
fgr:FGSG_02695	ko:K22745
fgr:FGSG_02697	ko:K15279
fgr:FGSG_02699	ko:K15356
fgr:FGSG_02700	ko:K14848
fgr:FGSG_02701	ko:K20241
fgr:FGSG_02702	ko:K06965
fgr:FGSG_02706	ko:K10599
fgr:FGSG_02714	ko:K03854
fgr:FGSG_02717	ko:K01687
fgr:FGSG_02724	ko:K15505
fgr:FGSG_02727	ko:K03507
fgr:FGSG_02732	ko:K26118
fgr:FGSG_02738	ko:K20061
fgr:FGSG_02746	ko:K11097
fgr:FGSG_02748	ko:K01415
fgr:FGSG_02751	ko:K00469
fgr:FGSG_02752	ko:K14810
fgr:FGSG_02756	ko:K18468
fgr:FGSG_02758	ko:K17278
fgr:FGSG_02761	ko:K17804
fgr:FGSG_02762	ko:K02948
fgr:FGSG_02763	ko:K22763
fgr:FGSG_02764	ko:K19788
fgr:FGSG_02767	ko:K16261
fgr:FGSG_02769	ko:K08900
fgr:FGSG_02770	ko:K01624
fgr:FGSG_02771	ko:K20465
fgr:FGSG_02774	ko:K20792
fgr:FGSG_02778	ko:K11419
fgr:FGSG_02780	ko:K17301
fgr:FGSG_02781	ko:K12599
fgr:FGSG_02782	ko:K00162
fgr:FGSG_02783	ko:K00559
fgr:FGSG_02784	ko:K18170
fgr:FGSG_02785	ko:K09522
fgr:FGSG_02786	ko:K05658
fgr:FGSG_02795	ko:K08832
fgr:FGSG_02797	ko:K17498
fgr:FGSG_02798	ko:K28564
fgr:FGSG_02800	ko:K11701
fgr:FGSG_02801	ko:K11360
fgr:FGSG_02804	ko:K13335
fgr:FGSG_02811	ko:K14018
fgr:FGSG_02812	ko:K13137
fgr:FGSG_02819	ko:K01061
fgr:FGSG_02820	ko:K26731
fgr:FGSG_02823	ko:K13333
fgr:FGSG_02833	ko:K08141
fgr:FGSG_02836	ko:K09955
fgr:FGSG_02839	ko:K03305
fgr:FGSG_02847	ko:K08711
fgr:FGSG_02851	ko:K01555
fgr:FGSG_02852	ko:K01800
fgr:FGSG_02863	ko:K22745
fgr:FGSG_02865	ko:K08158
fgr:FGSG_02870	ko:K08711
fgr:FGSG_02880	ko:K00387
fgr:FGSG_02881	ko:K03781
fgr:FGSG_02882	ko:K07223
fgr:FGSG_02884	ko:K03639
fgr:FGSG_02890	ko:K08095
fgr:FGSG_02893	ko:K01481
fgr:FGSG_02894	ko:K00306
fgr:FGSG_02917	ko:K19069
fgr:FGSG_02918	ko:K01381
fgr:FGSG_02941	ko:K01487
fgr:FGSG_02945	ko:K08192
fgr:FGSG_02968	ko:K07034
fgr:FGSG_02970	ko:K01673
fgr:FGSG_02974	ko:K03782
fgr:FGSG_02975	ko:K06910
fgr:FGSG_02977	ko:K22539
fgr:FGSG_02978	ko:K08139
fgr:FGSG_02980	ko:K05857
fgr:FGSG_02987	ko:K09252
fgr:FGSG_02990	ko:K11313
fgr:FGSG_02992	ko:K08192
fgr:FGSG_03000	ko:K00799
fgr:FGSG_03002	ko:K06113
fgr:FGSG_03012	ko:K01049
fgr:FGSG_03014	ko:K00844
fgr:FGSG_03019	ko:K01568
fgr:FGSG_03020	ko:K24194
fgr:FGSG_03033	ko:K08157
fgr:FGSG_03048	ko:K08679
fgr:FGSG_03055	ko:K28028
fgr:FGSG_03059	ko:K28788
fgr:FGSG_03063	ko:K03320
fgr:FGSG_03065	ko:K15745
fgr:FGSG_03066	ko:K17841
fgr:FGSG_03069	ko:K18123
fgr:FGSG_03071	ko:K00306
fgr:FGSG_03072	ko:K01279
fgr:FGSG_03073	ko:K00294
fgr:FGSG_03075	ko:K00286
fgr:FGSG_03078	ko:K23504
fgr:FGSG_03080	ko:K03327
fgr:FGSG_03086	ko:K22992
fgr:FGSG_03090	ko:K03327
fgr:FGSG_03095	ko:K01050
fgr:FGSG_03111	ko:K20989
fgr:FGSG_03114	ko:K01301
fgr:FGSG_03121	ko:K01732
fgr:FGSG_03124	ko:K03377
fgr:FGSG_03125	ko:K03671
fgr:FGSG_03127	ko:K01100
fgr:FGSG_03132	ko:K04563
fgr:FGSG_03133	ko:K08192
fgr:FGSG_03137	ko:K00102
fgr:FGSG_03139	ko:K05349
fgr:FGSG_03142	ko:K16261
fgr:FGSG_03147	ko:K01754
fgr:FGSG_03154	ko:K00306
fgr:FGSG_03160	ko:K01714
fgr:FGSG_03161	ko:K08192
fgr:FGSG_03172	ko:K14640
fgr:FGSG_03175	ko:K00344
fgr:FGSG_03176	ko:K16342
fgr:FGSG_03182	ko:K06047
fgr:FGSG_03194	ko:K01184
fgr:FGSG_03199	ko:K03380
fgr:FGSG_03202	ko:K01537
fgr:FGSG_03204	ko:K20062
fgr:FGSG_03208	ko:K28027
fgr:FGSG_03209	ko:K01049
fgr:FGSG_03210	ko:K00354
fgr:FGSG_03212	ko:K01183
fgr:FGSG_03214	ko:K09246
fgr:FGSG_03229	ko:K07300
fgr:FGSG_03244	ko:K07511
fgr:FGSG_03247	ko:K00864
fgr:FGSG_03248	ko:K03441
fgr:FGSG_03249	ko:K00111
fgr:FGSG_03255	ko:K18819
fgr:FGSG_03258	ko:K22124
fgr:FGSG_03259	ko:K22470
fgr:FGSG_03262	ko:K00354
fgr:FGSG_03269	ko:K01190
fgr:FGSG_03278	ko:K00276
fgr:FGSG_03284	ko:K03097
fgr:FGSG_03286	ko:K17361
fgr:FGSG_03288	ko:K01193
fgr:FGSG_03311	ko:K00045
fgr:FGSG_03315	ko:K01336
fgr:FGSG_03323	ko:K05658
fgr:FGSG_03328	ko:K13348
fgr:FGSG_03331	ko:K01336
fgr:FGSG_03333	ko:K21830
fgr:FGSG_03345	ko:K28508
fgr:FGSG_03346	ko:K01426
fgr:FGSG_03347	ko:K03305
fgr:FGSG_03348	ko:K00505
fgr:FGSG_03349	ko:K03381
fgr:FGSG_03352	ko:K15111
fgr:FGSG_03354	ko:K22211
fgr:FGSG_03355	ko:K00354
fgr:FGSG_03363	ko:K01897
fgr:FGSG_03366	ko:K01078
fgr:FGSG_03369	ko:K08141
fgr:FGSG_03379	ko:K01166
fgr:FGSG_03380	ko:K05535
fgr:FGSG_03384	ko:K01213
fgr:FGSG_03387	ko:K05349
fgr:FGSG_03389	ko:K03448
fgr:FGSG_03393	ko:K01053
fgr:FGSG_03402	ko:K01078
fgr:FGSG_03406	ko:K01051
fgr:FGSG_03410	ko:K05349
fgr:FGSG_03412	ko:K16261
fgr:FGSG_03414	ko:K00309
fgr:FGSG_03418	ko:K00698
fgr:FGSG_03421	ko:K20246
fgr:FGSG_03429	ko:K24139
fgr:FGSG_03438	ko:K00059
fgr:FGSG_03439	ko:K00467
fgr:FGSG_03443	ko:K00213
fgr:FGSG_03444	ko:K09828
fgr:FGSG_03457	ko:K08095
fgr:FGSG_03462	ko:K01187
fgr:FGSG_03467	ko:K01417
fgr:FGSG_03481	ko:K01438
fgr:FGSG_03483	ko:K01732
fgr:FGSG_03488	ko:K19564
fgr:FGSG_03497	ko:K22686
fgr:FGSG_03512	ko:K08139
fgr:FGSG_03521	ko:K09705
fgr:FGSG_03523	ko:K06901
fgr:FGSG_03529	ko:K01210
fgr:FGSG_03531	ko:K00505
fgr:FGSG_03537	ko:K12249
fgr:FGSG_03547	ko:K00326
fgr:FGSG_03558	ko:K20062
fgr:FGSG_03569	ko:K04618
fgr:FGSG_03570	ko:K05349
fgr:FGSG_03571	ko:K22134
fgr:FGSG_03574	ko:K11244
fgr:FGSG_03589	ko:K01904
fgr:FGSG_03591	ko:K01183
fgr:FGSG_03594	ko:K15027
fgr:FGSG_03595	ko:K07937
fgr:FGSG_03597	ko:K19838
fgr:FGSG_03601	ko:K01050
fgr:FGSG_03604	ko:K00450
fgr:FGSG_03607	ko:K05349
fgr:FGSG_03616	ko:K01166
fgr:FGSG_03624	ko:K01181
fgr:FGSG_03628	ko:K19668
fgr:FGSG_03629	ko:K01235
fgr:FGSG_03636	ko:K08192
fgr:FGSG_03638	ko:K17066
fgr:FGSG_03645	ko:K01706
fgr:FGSG_03646	ko:K08192
fgr:FGSG_03647	ko:K18123
fgr:FGSG_03648	ko:K16066
fgr:FGSG_03652	ko:K07034
fgr:FGSG_03667	ko:K03381
fgr:FGSG_03680	ko:K09885
fgr:FGSG_03686	ko:K09831
fgr:FGSG_03693	ko:K14686
fgr:FGSG_03694	ko:K01755
fgr:FGSG_03695	ko:K19356
fgr:FGSG_03703	ko:K01187
fgr:FGSG_03709	ko:K00101
fgr:FGSG_03713	ko:K22539
fgr:FGSG_03714	ko:K08257
fgr:FGSG_03725	ko:K28027
fgr:FGSG_03730	ko:K06978
fgr:FGSG_03735	ko:K08711
fgr:FGSG_03741	ko:K10437
fgr:FGSG_03742	ko:K19069
fgr:FGSG_03745	ko:K22151
fgr:FGSG_03747	ko:K22152
fgr:FGSG_03761	ko:K13366
fgr:FGSG_03769	ko:K13289
fgr:FGSG_03772	ko:K28059
fgr:FGSG_03777	ko:K00226
fgr:FGSG_03779	ko:K00851
fgr:FGSG_03780	ko:K03441
fgr:FGSG_03795	ko:K01179
fgr:FGSG_03798	ko:K13352
fgr:FGSG_03799	ko:K16261
fgr:FGSG_03801	ko:K00505
fgr:FGSG_03803	ko:K22721
fgr:FGSG_03805	ko:K23329
fgr:FGSG_03813	ko:K20844
fgr:FGSG_03816	ko:K01053
fgr:FGSG_03826	ko:K01091
fgr:FGSG_03834	ko:K24976
fgr:FGSG_03838	ko:K00059
fgr:FGSG_03842	ko:K01176
fgr:FGSG_03847	ko:K28766
fgr:FGSG_03851	ko:K04709
fgr:FGSG_03855	ko:K08192
fgr:FGSG_03856	ko:K26141
fgr:FGSG_03858	ko:K05349
fgr:FGSG_03862	ko:K22134
fgr:FGSG_03867	ko:K05972
fgr:FGSG_03869	ko:K02429
fgr:FGSG_03872	ko:K08192
fgr:FGSG_03875	ko:K13333
fgr:FGSG_03879	ko:K26400
fgr:FGSG_03881	ko:K14816
fgr:FGSG_03882	ko:K08711
fgr:FGSG_03886	ko:K05857
fgr:FGSG_03889	ko:K08192
fgr:FGSG_03890	ko:K01182
fgr:FGSG_03891	ko:K08141
fgr:FGSG_03908	ko:K01728
fgr:FGSG_03909	ko:K22539
fgr:FGSG_03910	ko:K06910
fgr:FGSG_03917	ko:K00286
fgr:FGSG_03922	ko:K01230
fgr:FGSG_03927	ko:K28359
fgr:FGSG_03930	ko:K15100
fgr:FGSG_03943	ko:K00799
fgr:FGSG_03946	ko:K03671
fgr:FGSG_03951	ko:K20238
fgr:FGSG_03955	ko:K01684
fgr:FGSG_03956	ko:K08192
fgr:FGSG_03963	ko:K01426
fgr:FGSG_03965	ko:K22213
fgr:FGSG_03966	ko:K19327
fgr:FGSG_03967	ko:K01293
fgr:FGSG_03976	ko:K24940
fgr:FGSG_03981	ko:K14454
fgr:FGSG_03984	ko:K00467
fgr:FGSG_03985	ko:K16261
fgr:FGSG_03987	ko:K14709
fgr:FGSG_03990	ko:K15529
fgr:FGSG_03991	ko:K10881
fgr:FGSG_03992	ko:K00927
fgr:FGSG_03993	ko:K01655
fgr:FGSG_03999	ko:K13280
fgr:FGSG_04003	ko:K09702
fgr:FGSG_04004	ko:K15196
fgr:FGSG_04022	ko:K01426
fgr:FGSG_04026	ko:K01102
fgr:FGSG_04027	ko:K14859
fgr:FGSG_04028	ko:K14777
fgr:FGSG_04031	ko:K19881
fgr:FGSG_04033	ko:K19953
fgr:FGSG_04036	ko:K18097
fgr:FGSG_04037	ko:K03009
fgr:FGSG_04038	ko:K24104
fgr:FGSG_04039	ko:K14849
fgr:FGSG_04042	ko:K21989
fgr:FGSG_04044	ko:K00721
fgr:FGSG_04045	ko:K00059
fgr:FGSG_04046	ko:K20309
fgr:FGSG_04050	ko:K15205
fgr:FGSG_04051	ko:K07297
fgr:FGSG_04053	ko:K08827
fgr:FGSG_04055	ko:K16261
fgr:FGSG_04057	ko:K24976
fgr:FGSG_04060	ko:K20628
fgr:FGSG_04065	ko:K17100
fgr:FGSG_04067	ko:K17421
fgr:FGSG_04072	ko:K07575
fgr:FGSG_04077	ko:K05972
fgr:FGSG_04085	ko:K00849
fgr:FGSG_04087	ko:K04711
fgr:FGSG_04091	ko:K16365
fgr:FGSG_04092	ko:K05917
fgr:FGSG_04095	ko:K24160
fgr:FGSG_04101	ko:K19841
fgr:FGSG_04102	ko:K00654
fgr:FGSG_04103	ko:K01907
fgr:FGSG_04104	ko:K04536
fgr:FGSG_04105	ko:K28206
fgr:FGSG_04107	ko:K15306
fgr:FGSG_04108	ko:K03140
fgr:FGSG_04111	ko:K19704
fgr:FGSG_04112	ko:K12191
fgr:FGSG_04113	ko:K06030
fgr:FGSG_04115	ko:K17769
fgr:FGSG_04117	ko:K15371
fgr:FGSG_04120	ko:K12188
fgr:FGSG_04121	ko:K09503
fgr:FGSG_04122	ko:K01885
fgr:FGSG_04124	ko:K04569
fgr:FGSG_04125	ko:K02871
fgr:FGSG_04126	ko:K00365
fgr:FGSG_04127	ko:K08267
fgr:FGSG_04128	ko:K00877
fgr:FGSG_04130	ko:K03885
fgr:FGSG_04131	ko:K01556
fgr:FGSG_04134	ko:K21455
fgr:FGSG_04135	ko:K13205
fgr:FGSG_04136	ko:K02960
fgr:FGSG_04137	ko:K02912
fgr:FGSG_04139	ko:K00211
fgr:FGSG_04140	ko:K15462
fgr:FGSG_04141	ko:K10994
fgr:FGSG_04143	ko:K01183
fgr:FGSG_04149	ko:K02915
fgr:FGSG_04152	ko:K01077
fgr:FGSG_04154	ko:K10777
fgr:FGSG_04155	ko:K00761
fgr:FGSG_04157	ko:K00799
fgr:FGSG_04164	ko:K14405
fgr:FGSG_04165	ko:K14307
fgr:FGSG_04166	ko:K03024
fgr:FGSG_04168	ko:K18442
fgr:FGSG_04171	ko:K00627
fgr:FGSG_04178	ko:K28613
fgr:FGSG_04179	ko:K23518
fgr:FGSG_04181	ko:K03235
fgr:FGSG_04182	ko:K16261
fgr:FGSG_04183	ko:K24935
fgr:FGSG_04184	ko:K18730
fgr:FGSG_04185	ko:K03538
fgr:FGSG_04187	ko:K01918
fgr:FGSG_04188	ko:K22134
fgr:FGSG_04189	ko:K17623
fgr:FGSG_04192	ko:K24767
fgr:FGSG_04194	ko:K00128
fgr:FGSG_04196	ko:K00135
fgr:FGSG_04198	ko:K11393
fgr:FGSG_04202	ko:K01875
fgr:FGSG_04204	ko:K08178
fgr:FGSG_04209	ko:K07734
fgr:FGSG_04211	ko:K13119
fgr:FGSG_04212	ko:K00799
fgr:FGSG_04217	ko:K08192
fgr:FGSG_04220	ko:K06648
fgr:FGSG_04221	ko:K12481
fgr:FGSG_04222	ko:K02304
fgr:FGSG_04223	ko:K18107
fgr:FGSG_04232	ko:K00012
fgr:FGSG_04237	ko:K00981
fgr:FGSG_04240	ko:K05034
fgr:FGSG_04243	ko:K07513
fgr:FGSG_04245	ko:K01536
fgr:FGSG_04247	ko:K05351
fgr:FGSG_04248	ko:K17742
fgr:FGSG_04252	ko:K10745
fgr:FGSG_04253	ko:K18327
fgr:FGSG_04254	ko:K11304
fgr:FGSG_04255	ko:K09704
fgr:FGSG_04257	ko:K03504
fgr:FGSG_04258	ko:K10627
fgr:FGSG_04259	ko:K15053
fgr:FGSG_04260	ko:K16066
fgr:FGSG_04261	ko:K00948
fgr:FGSG_04263	ko:K13291
fgr:FGSG_04264	ko:K03138
fgr:FGSG_04265	ko:K13106
fgr:FGSG_04266	ko:K20305
fgr:FGSG_04268	ko:K04532
fgr:FGSG_04270	ko:K14642
fgr:FGSG_04271	ko:K23327
fgr:FGSG_04273	ko:K03016
fgr:FGSG_04274	ko:K11375
fgr:FGSG_04275	ko:K15323
fgr:FGSG_04277	ko:K12587
fgr:FGSG_04278	ko:K05533
fgr:FGSG_04279	ko:K18443
fgr:FGSG_04280	ko:K22913
fgr:FGSG_04282	ko:K00974
fgr:FGSG_04284	ko:K12867
fgr:FGSG_04285	ko:K02149
fgr:FGSG_04286	ko:K11094
fgr:FGSG_04287	ko:K13830
fgr:FGSG_04289	ko:K11254
fgr:FGSG_04290	ko:K11253
fgr:FGSG_04291	ko:K02999
fgr:FGSG_04292	ko:K12843
fgr:FGSG_04295	ko:K10844
fgr:FGSG_04296	ko:K04459
fgr:FGSG_04297	ko:K17908
fgr:FGSG_04298	ko:K15451
fgr:FGSG_04304	ko:K24730
fgr:FGSG_04308	ko:K03141
fgr:FGSG_04309	ko:K00164
fgr:FGSG_04312	ko:K02133
fgr:FGSG_04313	ko:K00700
fgr:FGSG_04314	ko:K03544
fgr:FGSG_04315	ko:K02263
fgr:FGSG_04319	ko:K15283
fgr:FGSG_04320	ko:K12829
fgr:FGSG_04324	ko:K11407
fgr:FGSG_04326	ko:K14820
fgr:FGSG_04327	ko:K07904
fgr:FGSG_04328	ko:K11595
fgr:FGSG_04330	ko:K11676
fgr:FGSG_04333	ko:K22149
fgr:FGSG_04334	ko:K22151
fgr:FGSG_04336	ko:K05658
fgr:FGSG_04343	ko:K19029
fgr:FGSG_04345	ko:K28650
fgr:FGSG_04347	ko:K28359
fgr:FGSG_04349	ko:K13210
fgr:FGSG_04350	ko:K13179
