fpu:FPSE_00004	ko:K00293
fpu:FPSE_01853	ko:K09885
fpu:FPSE_01867	ko:K03381
fpu:FPSE_01883	ko:K07034
fpu:FPSE_01887	ko:K16066
fpu:FPSE_01888	ko:K18123
fpu:FPSE_01889	ko:K08192
fpu:FPSE_01890	ko:K01706
fpu:FPSE_01898	ko:K17066
fpu:FPSE_01905	ko:K01235
fpu:FPSE_01906	ko:K19668
fpu:FPSE_01910	ko:K01181
fpu:FPSE_01914	ko:K20059
fpu:FPSE_01915	ko:K08832
fpu:FPSE_01920	ko:K00698
fpu:FPSE_01921	ko:K00381
fpu:FPSE_01922	ko:K22724
fpu:FPSE_01923	ko:K01807
fpu:FPSE_01925	ko:K14840
fpu:FPSE_01926	ko:K03885
fpu:FPSE_01927	ko:K00876
fpu:FPSE_01928	ko:K23338
fpu:FPSE_01929	ko:K03937
fpu:FPSE_01930	ko:K02139
fpu:FPSE_01935	ko:K02542
fpu:FPSE_01936	ko:K03146
fpu:FPSE_01938	ko:K20247
fpu:FPSE_01940	ko:K01279
fpu:FPSE_01945	ko:K00026
fpu:FPSE_01946	ko:K14950
fpu:FPSE_01950	ko:K28507
fpu:FPSE_01951	ko:K20498
fpu:FPSE_01952	ko:K17782
fpu:FPSE_01953	ko:K00949
fpu:FPSE_01954	ko:K19200
fpu:FPSE_01967	ko:K28030
fpu:FPSE_01980	ko:K14640
fpu:FPSE_01986	ko:K16219
fpu:FPSE_02005	ko:K01626
fpu:FPSE_02008	ko:K26404
fpu:FPSE_02012	ko:K19800
fpu:FPSE_02013	ko:K02141
fpu:FPSE_02016	ko:K22008
fpu:FPSE_02017	ko:K12662
fpu:FPSE_02018	ko:K15563
fpu:FPSE_02019	ko:K12627
fpu:FPSE_02027	ko:K12625
fpu:FPSE_02036	ko:K14791
fpu:FPSE_02037	ko:K12815
fpu:FPSE_02038	ko:K01512
fpu:FPSE_02041	ko:K23905
fpu:FPSE_02042	ko:K07232
fpu:FPSE_02045	ko:K11390
fpu:FPSE_02046	ko:K26752
fpu:FPSE_02049	ko:K14773
fpu:FPSE_02050	ko:K17508
fpu:FPSE_02052	ko:K16342
fpu:FPSE_02053	ko:K00344
fpu:FPSE_02056	ko:K14640
fpu:FPSE_02064	ko:K08192
fpu:FPSE_02065	ko:K01714
fpu:FPSE_02077	ko:K01754
fpu:FPSE_02078	ko:K08832
fpu:FPSE_02082	ko:K16261
fpu:FPSE_02085	ko:K05349
fpu:FPSE_02087	ko:K00102
fpu:FPSE_02089	ko:K08192
fpu:FPSE_02090	ko:K04563
fpu:FPSE_02096	ko:K01100
fpu:FPSE_02098	ko:K03671
fpu:FPSE_02099	ko:K03377
fpu:FPSE_02102	ko:K16261
fpu:FPSE_02103	ko:K01732
fpu:FPSE_02109	ko:K08192
fpu:FPSE_02110	ko:K01301
fpu:FPSE_02113	ko:K20989
fpu:FPSE_02124	ko:K20059
fpu:FPSE_02130	ko:K01050
fpu:FPSE_02132	ko:K17095
fpu:FPSE_02136	ko:K03327
fpu:FPSE_02139	ko:K22992
fpu:FPSE_02145	ko:K03327
fpu:FPSE_02150	ko:K00286
fpu:FPSE_02152	ko:K00294
fpu:FPSE_02153	ko:K01279
fpu:FPSE_02154	ko:K00306
fpu:FPSE_02157	ko:K18123
fpu:FPSE_02160	ko:K17841
fpu:FPSE_02161	ko:K15745
fpu:FPSE_02163	ko:K03320
fpu:FPSE_02167	ko:K28788
fpu:FPSE_02171	ko:K28359
fpu:FPSE_02172	ko:K28028
fpu:FPSE_02180	ko:K08679
fpu:FPSE_02196	ko:K08157
fpu:FPSE_02214	ko:K24194
fpu:FPSE_02216	ko:K01568
fpu:FPSE_02221	ko:K00844
fpu:FPSE_02236	ko:K06113
fpu:FPSE_02238	ko:K00799
fpu:FPSE_02248	ko:K08192
fpu:FPSE_02250	ko:K07050
fpu:FPSE_02251	ko:K11313
fpu:FPSE_02253	ko:K09252
fpu:FPSE_02260	ko:K05857
fpu:FPSE_02261	ko:K22539
fpu:FPSE_02262	ko:K08139
fpu:FPSE_02264	ko:K06910
fpu:FPSE_02265	ko:K03782
fpu:FPSE_02270	ko:K00938
fpu:FPSE_02272	ko:K14806
fpu:FPSE_02277	ko:K15334
fpu:FPSE_02278	ko:K03979
fpu:FPSE_02281	ko:K03013
fpu:FPSE_02283	ko:K21767
fpu:FPSE_02286	ko:K19327
fpu:FPSE_02289	ko:K13345
fpu:FPSE_02290	ko:K17362
fpu:FPSE_02291	ko:K14688
fpu:FPSE_02293	ko:K14808
fpu:FPSE_02294	ko:K09528
fpu:FPSE_02295	ko:K03686
fpu:FPSE_02298	ko:K20404
fpu:FPSE_02299	ko:K06672
fpu:FPSE_02300	ko:K03000
fpu:FPSE_02301	ko:K06072
fpu:FPSE_02306	ko:K13953
fpu:FPSE_02313	ko:K10801
fpu:FPSE_02324	ko:K08192
fpu:FPSE_02326	ko:K01808
fpu:FPSE_02327	ko:K01624
fpu:FPSE_02329	ko:K00863
fpu:FPSE_02331	ko:K01565
fpu:FPSE_02345	ko:K08711
fpu:FPSE_02349	ko:K05994
fpu:FPSE_02368	ko:K00505
fpu:FPSE_02369	ko:K20238
fpu:FPSE_02397	ko:K16261
fpu:FPSE_02402	ko:K26349
fpu:FPSE_02404	ko:K22213
fpu:FPSE_02414	ko:K19355
fpu:FPSE_02427	ko:K01655
fpu:FPSE_02431	ko:K05972
fpu:FPSE_02433	ko:K01224
fpu:FPSE_02437	ko:K20465
fpu:FPSE_02440	ko:K00799
fpu:FPSE_02443	ko:K18576
fpu:FPSE_02447	ko:K00128
fpu:FPSE_02450	ko:K04618
fpu:FPSE_02454	ko:K05665
fpu:FPSE_02455	ko:K22151
fpu:FPSE_02456	ko:K22148
fpu:FPSE_02457	ko:K14816
fpu:FPSE_02459	ko:K05917
fpu:FPSE_02468	ko:K19356
fpu:FPSE_02469	ko:K01184
fpu:FPSE_02471	ko:K00485
fpu:FPSE_02482	ko:K00942
fpu:FPSE_02484	ko:K01181
fpu:FPSE_02502	ko:K01198
fpu:FPSE_02504	ko:K13348
fpu:FPSE_02508	ko:K09983
fpu:FPSE_02510	ko:K16569
fpu:FPSE_02511	ko:K02729
fpu:FPSE_02514	ko:K14850
fpu:FPSE_02515	ko:K11885
fpu:FPSE_02517	ko:K00762
fpu:FPSE_02518	ko:K06943
fpu:FPSE_02519	ko:K17255
fpu:FPSE_02520	ko:K17428
fpu:FPSE_02526	ko:K11768
fpu:FPSE_02527	ko:K03327
fpu:FPSE_02528	ko:K10862
fpu:FPSE_02529	ko:K13996
fpu:FPSE_02530	ko:K01115
fpu:FPSE_02532	ko:K12275
fpu:FPSE_02533	ko:K15152
fpu:FPSE_02534	ko:K18551
fpu:FPSE_02539	ko:K08675
fpu:FPSE_02541	ko:K00507
fpu:FPSE_02542	ko:K14299
fpu:FPSE_02543	ko:K23966
fpu:FPSE_02547	ko:K16578
fpu:FPSE_02549	ko:K19839
fpu:FPSE_02553	ko:K17669
fpu:FPSE_02555	ko:K13711
fpu:FPSE_02557	ko:K09117
fpu:FPSE_02562	ko:K06961
fpu:FPSE_02563	ko:K02867
fpu:FPSE_02565	ko:K28035
fpu:FPSE_02566	ko:K04078
fpu:FPSE_02569	ko:K07901
fpu:FPSE_02571	ko:K14575
fpu:FPSE_02572	ko:K17491
fpu:FPSE_02574	ko:K00729
fpu:FPSE_02575	ko:K00511
fpu:FPSE_02579	ko:K02180
fpu:FPSE_02580	ko:K03237
fpu:FPSE_02581	ko:K09648
fpu:FPSE_02582	ko:K28103
fpu:FPSE_02584	ko:K02892
fpu:FPSE_02586	ko:K15084
fpu:FPSE_02587	ko:K15175
fpu:FPSE_02589	ko:K02732
fpu:FPSE_02590	ko:K00888
fpu:FPSE_02593	ko:K00794
fpu:FPSE_02596	ko:K14570
fpu:FPSE_02598	ko:K14001
fpu:FPSE_02605	ko:K13342
fpu:FPSE_02606	ko:K14847
fpu:FPSE_02608	ko:K00698
fpu:FPSE_02609	ko:K10579
fpu:FPSE_02610	ko:K00053
fpu:FPSE_02611	ko:K01754
fpu:FPSE_02612	ko:K28511
fpu:FPSE_02613	ko:K00147
fpu:FPSE_02614	ko:K07466
fpu:FPSE_02618	ko:K01908
fpu:FPSE_02622	ko:K12763
fpu:FPSE_02624	ko:K18338
fpu:FPSE_02626	ko:K06950
fpu:FPSE_02631	ko:K11095
fpu:FPSE_02632	ko:K20352
fpu:FPSE_02633	ko:K01867
fpu:FPSE_02635	ko:K11560
fpu:FPSE_02636	ko:K09051
fpu:FPSE_02638	ko:K22746
fpu:FPSE_02639	ko:K01288
fpu:FPSE_02641	ko:K00604
fpu:FPSE_02647	ko:K28680
fpu:FPSE_02648	ko:K12597
fpu:FPSE_02652	ko:K11888
fpu:FPSE_02653	ko:K10873
fpu:FPSE_02655	ko:K17278
fpu:FPSE_02665	ko:K06676
fpu:FPSE_02666	ko:K13754
fpu:FPSE_02667	ko:K17497
fpu:FPSE_02669	ko:K08736
fpu:FPSE_02671	ko:K05956
fpu:FPSE_02674	ko:K14852
fpu:FPSE_02675	ko:K17408
fpu:FPSE_02676	ko:K02210
fpu:FPSE_02677	ko:K13338
fpu:FPSE_02678	ko:K01082
fpu:FPSE_02679	ko:K11367
fpu:FPSE_02680	ko:K06174
fpu:FPSE_02681	ko:K12821
fpu:FPSE_02683	ko:K10731
fpu:FPSE_02686	ko:K06116
fpu:FPSE_02687	ko:K01304
fpu:FPSE_02689	ko:K14292
fpu:FPSE_02690	ko:K26797
fpu:FPSE_02691	ko:K12668
fpu:FPSE_02692	ko:K28766
fpu:FPSE_02693	ko:K18172
fpu:FPSE_02694	ko:K09549
fpu:FPSE_02695	ko:K08065
fpu:FPSE_02696	ko:K15216
fpu:FPSE_02698	ko:K26680
fpu:FPSE_02699	ko:K20195
fpu:FPSE_02704	ko:K13346
fpu:FPSE_02705	ko:K15263
fpu:FPSE_02706	ko:K24083
fpu:FPSE_02707	ko:K12236
fpu:FPSE_02708	ko:K22138
fpu:FPSE_02709	ko:K01958
fpu:FPSE_02711	ko:K28545
fpu:FPSE_02714	ko:K04564
fpu:FPSE_02717	ko:K21547
fpu:FPSE_02724	ko:K27537
fpu:FPSE_02725	ko:K14686
fpu:FPSE_02726	ko:K00452
fpu:FPSE_02727	ko:K01557
fpu:FPSE_02729	ko:K14556
fpu:FPSE_02730	ko:K05758
fpu:FPSE_02737	ko:K12828
fpu:FPSE_02738	ko:K03660
fpu:FPSE_02739	ko:K12837
fpu:FPSE_02740	ko:K02953
fpu:FPSE_02741	ko:K14968
fpu:FPSE_02742	ko:K15363
fpu:FPSE_02744	ko:K11968
fpu:FPSE_02745	ko:K10746
fpu:FPSE_02746	ko:K14860
fpu:FPSE_02747	ko:K15414
fpu:FPSE_02748	ko:K20465
fpu:FPSE_02751	ko:K14790
fpu:FPSE_02757	ko:K18160
fpu:FPSE_02758	ko:K20526
fpu:FPSE_02760	ko:K01057
fpu:FPSE_02763	ko:K28669
fpu:FPSE_02766	ko:K24611
fpu:FPSE_02768	ko:K01580
fpu:FPSE_02769	ko:K13110
fpu:FPSE_02770	ko:K02321
fpu:FPSE_02772	ko:K05605
fpu:FPSE_02773	ko:K11096
fpu:FPSE_02774	ko:K00863
fpu:FPSE_02775	ko:K08257
fpu:FPSE_02778	ko:K10777
fpu:FPSE_02782	ko:K18748
fpu:FPSE_02783	ko:K18723
fpu:FPSE_02784	ko:K08499
fpu:FPSE_02788	ko:K02145
fpu:FPSE_02789	ko:K00485
fpu:FPSE_02790	ko:K12350
fpu:FPSE_02792	ko:K27894
fpu:FPSE_02794	ko:K06111
fpu:FPSE_02797	ko:K12859
fpu:FPSE_02805	ko:K01732
fpu:FPSE_02807	ko:K18578
fpu:FPSE_02812	ko:K00942
fpu:FPSE_02819	ko:K00059
fpu:FPSE_02822	ko:K08726
fpu:FPSE_02823	ko:K13411
fpu:FPSE_02824	ko:K03380
fpu:FPSE_02844	ko:K07407
fpu:FPSE_02850	ko:K01312
fpu:FPSE_02852	ko:K01728
fpu:FPSE_02855	ko:K08287
fpu:FPSE_02869	ko:K08141
fpu:FPSE_02872	ko:K08141
fpu:FPSE_02877	ko:K18195
fpu:FPSE_02880	ko:K17724
fpu:FPSE_02885	ko:K06035
fpu:FPSE_02889	ko:K14454
fpu:FPSE_02894	ko:K08192
fpu:FPSE_02903	ko:K13953
fpu:FPSE_02927	ko:K03033
fpu:FPSE_02928	ko:K03126
fpu:FPSE_02930	ko:K11696
fpu:FPSE_02931	ko:K00143
fpu:FPSE_02932	ko:K11339
fpu:FPSE_02933	ko:K01648
fpu:FPSE_02934	ko:K01648
fpu:FPSE_02936	ko:K22834
fpu:FPSE_02938	ko:K16938
fpu:FPSE_02939	ko:K12601
fpu:FPSE_02940	ko:K03505
fpu:FPSE_02942	ko:K10685
fpu:FPSE_02943	ko:K00059
fpu:FPSE_02944	ko:K23451
fpu:FPSE_02945	ko:K10756
fpu:FPSE_02951	ko:K05863
fpu:FPSE_02952	ko:K02975
fpu:FPSE_02953	ko:K02989
fpu:FPSE_02956	ko:K05727
fpu:FPSE_02959	ko:K15628
fpu:FPSE_02960	ko:K15455
fpu:FPSE_02962	ko:K01869
fpu:FPSE_02964	ko:K12399
fpu:FPSE_02965	ko:K19054
fpu:FPSE_02970	ko:K03142
fpu:FPSE_02971	ko:K00457
fpu:FPSE_02973	ko:K27383
fpu:FPSE_02974	ko:K02901
fpu:FPSE_02976	ko:K28214
fpu:FPSE_02984	ko:K01477
fpu:FPSE_02991	ko:K26159
fpu:FPSE_02992	ko:K09495
fpu:FPSE_02995	ko:K19069
fpu:FPSE_02997	ko:K05019
fpu:FPSE_03001	ko:K04555
fpu:FPSE_03005	ko:K05546
fpu:FPSE_03006	ko:K00940
fpu:FPSE_03013	ko:K11088
fpu:FPSE_03015	ko:K07442
fpu:FPSE_03016	ko:K01883
fpu:FPSE_03024	ko:K00720
fpu:FPSE_03025	ko:K15322
fpu:FPSE_03026	ko:K00471
fpu:FPSE_03027	ko:K12795
fpu:FPSE_03029	ko:K01852
fpu:FPSE_03030	ko:K10878
fpu:FPSE_03031	ko:K06867
fpu:FPSE_03044	ko:K01062
fpu:FPSE_03049	ko:K20289
fpu:FPSE_03056	ko:K28005
fpu:FPSE_03059	ko:K09828
fpu:FPSE_03064	ko:K02923
fpu:FPSE_03067	ko:K00869
fpu:FPSE_03068	ko:K05955
fpu:FPSE_03069	ko:K14285
fpu:FPSE_03070	ko:K01874
fpu:FPSE_03072	ko:K02914
fpu:FPSE_03074	ko:K15082
fpu:FPSE_03075	ko:K15083
fpu:FPSE_03076	ko:K01581
fpu:FPSE_03077	ko:K06972
fpu:FPSE_03078	ko:K26808
fpu:FPSE_03079	ko:K06013
fpu:FPSE_03081	ko:K11578
fpu:FPSE_03083	ko:K11292
fpu:FPSE_03085	ko:K12861
fpu:FPSE_03086	ko:K04739
fpu:FPSE_03087	ko:K11362
fpu:FPSE_03088	ko:K16570
fpu:FPSE_03095	ko:K01115
fpu:FPSE_03096	ko:K28034
fpu:FPSE_03097	ko:K15178
fpu:FPSE_03098	ko:K18694
fpu:FPSE_03101	ko:K06942
fpu:FPSE_03102	ko:K02619
fpu:FPSE_03104	ko:K17768
fpu:FPSE_03105	ko:K08486
fpu:FPSE_03106	ko:K14561
fpu:FPSE_03107	ko:K14326
fpu:FPSE_03108	ko:K01230
fpu:FPSE_03110	ko:K15040
fpu:FPSE_03111	ko:K01953
fpu:FPSE_03112	ko:K10577
fpu:FPSE_03113	ko:K13337
fpu:FPSE_03115	ko:K08869
fpu:FPSE_03116	ko:K11272
fpu:FPSE_03117	ko:K01858
fpu:FPSE_03129	ko:K27690
fpu:FPSE_03133	ko:K15631
fpu:FPSE_03138	ko:K01225
fpu:FPSE_03139	ko:K11770
fpu:FPSE_03141	ko:K17808
fpu:FPSE_03142	ko:K14772
fpu:FPSE_03143	ko:K24939
fpu:FPSE_03144	ko:K02555
fpu:FPSE_03147	ko:K02331
fpu:FPSE_03148	ko:K02727
fpu:FPSE_03154	ko:K09458
fpu:FPSE_03155	ko:K17662
fpu:FPSE_03156	ko:K13299
fpu:FPSE_03158	ko:K22531
fpu:FPSE_03162	ko:K05542
fpu:FPSE_03166	ko:K13100
fpu:FPSE_03167	ko:K09658
fpu:FPSE_03170	ko:K00287
fpu:FPSE_03171	ko:K03305
fpu:FPSE_03174	ko:K11131
fpu:FPSE_03179	ko:K13989
fpu:FPSE_03181	ko:K10755
fpu:FPSE_03182	ko:K14566
fpu:FPSE_03186	ko:K23719
fpu:FPSE_03187	ko:K14798
fpu:FPSE_03188	ko:K14539
fpu:FPSE_03192	ko:K00029
fpu:FPSE_03197	ko:K02930
fpu:FPSE_03201	ko:K02358
fpu:FPSE_03202	ko:K02980
fpu:FPSE_03203	ko:K09584
fpu:FPSE_03204	ko:K19765
fpu:FPSE_03205	ko:K23788
fpu:FPSE_03209	ko:K02327
fpu:FPSE_03210	ko:K00262
fpu:FPSE_03211	ko:K01796
fpu:FPSE_03212	ko:K23481
fpu:FPSE_03213	ko:K22382
fpu:FPSE_03215	ko:K18423
fpu:FPSE_03219	ko:K11501
fpu:FPSE_03220	ko:K12608
fpu:FPSE_03221	ko:K02328
fpu:FPSE_03226	ko:K01288
fpu:FPSE_03231	ko:K08192
fpu:FPSE_03234	ko:K10675
fpu:FPSE_03242	ko:K20523
fpu:FPSE_03259	ko:K00799
fpu:FPSE_03260	ko:K00128
fpu:FPSE_03264	ko:K13347
fpu:FPSE_03282	ko:K03457
fpu:FPSE_03289	ko:K05972
fpu:FPSE_03292	ko:K01613
fpu:FPSE_03294	ko:K00505
fpu:FPSE_03296	ko:K03448
fpu:FPSE_03309	ko:K22745
fpu:FPSE_03317	ko:K00767
fpu:FPSE_03318	ko:K00276
fpu:FPSE_03320	ko:K03952
fpu:FPSE_03321	ko:K14308
fpu:FPSE_03323	ko:K14818
fpu:FPSE_03324	ko:K14960
fpu:FPSE_03325	ko:K07152
fpu:FPSE_03328	ko:K00866
fpu:FPSE_03329	ko:K10520
fpu:FPSE_03330	ko:K20003
fpu:FPSE_03332	ko:K26216
fpu:FPSE_03334	ko:K18191
fpu:FPSE_03335	ko:K01082
fpu:FPSE_03336	ko:K02933
fpu:FPSE_03337	ko:K07375
fpu:FPSE_03339	ko:K06158
fpu:FPSE_03342	ko:K28673
fpu:FPSE_03345	ko:K00505
fpu:FPSE_03347	ko:K18123
fpu:FPSE_03348	ko:K12767
fpu:FPSE_03350	ko:K03251
fpu:FPSE_03352	ko:K20520
fpu:FPSE_03356	ko:K17065
fpu:FPSE_03360	ko:K14301
fpu:FPSE_03365	ko:K02148
fpu:FPSE_03366	ko:K00860
fpu:FPSE_03369	ko:K14832
fpu:FPSE_03370	ko:K01881
fpu:FPSE_03371	ko:K04797
fpu:FPSE_03373	ko:K02603
fpu:FPSE_03374	ko:K12862
fpu:FPSE_03375	ko:K06694
fpu:FPSE_03376	ko:K20286
fpu:FPSE_03379	ko:K21543
fpu:FPSE_03381	ko:K03245
fpu:FPSE_03382	ko:K17979
fpu:FPSE_03383	ko:K11884
fpu:FPSE_03386	ko:K12198
fpu:FPSE_03387	ko:K03362
fpu:FPSE_03390	ko:K28359
fpu:FPSE_03395	ko:K11236
fpu:FPSE_03397	ko:K27290
fpu:FPSE_03401	ko:K14819
fpu:FPSE_03412	ko:K13103
fpu:FPSE_03413	ko:K02957
fpu:FPSE_03414	ko:K24394
fpu:FPSE_03416	ko:K19525
fpu:FPSE_03417	ko:K03317
fpu:FPSE_03442	ko:K03574
fpu:FPSE_03450	ko:K01756
fpu:FPSE_03458	ko:K04711
fpu:FPSE_03465	ko:K10254
fpu:FPSE_03466	ko:K00021
fpu:FPSE_03468	ko:K00851
fpu:FPSE_03470	ko:K00226
fpu:FPSE_03474	ko:K28059
fpu:FPSE_03477	ko:K13289
fpu:FPSE_03487	ko:K13366
fpu:FPSE_03491	ko:K12041
fpu:FPSE_03492	ko:K07952
fpu:FPSE_03493	ko:K03678
fpu:FPSE_03494	ko:K12863
fpu:FPSE_03495	ko:K00854
fpu:FPSE_03497	ko:K11414
fpu:FPSE_03499	ko:K02365
fpu:FPSE_03501	ko:K14786
fpu:FPSE_03504	ko:K19801
fpu:FPSE_03505	ko:K21752
fpu:FPSE_03508	ko:K27164
fpu:FPSE_03509	ko:K02969
fpu:FPSE_03510	ko:K03350
fpu:FPSE_03511	ko:K11254
fpu:FPSE_03512	ko:K20301
fpu:FPSE_03514	ko:K12883
fpu:FPSE_03515	ko:K18719
fpu:FPSE_03517	ko:K01824
fpu:FPSE_03520	ko:K11228
fpu:FPSE_03522	ko:K04518
fpu:FPSE_03525	ko:K03695
fpu:FPSE_03526	ko:K09242
fpu:FPSE_03533	ko:K00472
fpu:FPSE_03535	ko:K28617
fpu:FPSE_03536	ko:K02155
fpu:FPSE_03537	ko:K20181
fpu:FPSE_03540	ko:K14846
fpu:FPSE_03541	ko:K14834
fpu:FPSE_03543	ko:K14522
fpu:FPSE_03544	ko:K11853
fpu:FPSE_03547	ko:K20410
fpu:FPSE_03551	ko:K14715
fpu:FPSE_03552	ko:K03361
fpu:FPSE_03553	ko:K00161
fpu:FPSE_03554	ko:K10747
fpu:FPSE_03555	ko:K27819
fpu:FPSE_03556	ko:K05012
fpu:FPSE_03558	ko:K23543
fpu:FPSE_03560	ko:K04393
fpu:FPSE_03561	ko:K25365
fpu:FPSE_03564	ko:K01078
fpu:FPSE_03569	ko:K16186
fpu:FPSE_03570	ko:K03351
fpu:FPSE_03571	ko:K20471
fpu:FPSE_03573	ko:K22733
fpu:FPSE_03574	ko:K02985
fpu:FPSE_03575	ko:K18083
fpu:FPSE_03576	ko:K01890
fpu:FPSE_03577	ko:K03456
fpu:FPSE_03578	ko:K22856
fpu:FPSE_03579	ko:K03264
fpu:FPSE_03582	ko:K03262
fpu:FPSE_03583	ko:K12878
fpu:FPSE_03584	ko:K12874
fpu:FPSE_03585	ko:K03260
fpu:FPSE_03586	ko:K02320
fpu:FPSE_03587	ko:K17906
fpu:FPSE_03590	ko:K14298
fpu:FPSE_03595	ko:K03940
fpu:FPSE_03597	ko:K20360
fpu:FPSE_03598	ko:K14411
fpu:FPSE_03599	ko:K10591
fpu:FPSE_03600	ko:K14396
fpu:FPSE_03602	ko:K11654
fpu:FPSE_03603	ko:K03246
fpu:FPSE_03604	ko:K00288
fpu:FPSE_03607	ko:K01915
fpu:FPSE_03609	ko:K14545
fpu:FPSE_03614	ko:K00477
fpu:FPSE_03616	ko:K02730
fpu:FPSE_03618	ko:K28777
fpu:FPSE_03620	ko:K08266
fpu:FPSE_03622	ko:K13566
fpu:FPSE_03623	ko:K00797
fpu:FPSE_03626	ko:K02866
fpu:FPSE_03627	ko:K02908
fpu:FPSE_03629	ko:K28440
fpu:FPSE_03630	ko:K12855
fpu:FPSE_03633	ko:K14803
fpu:FPSE_03635	ko:K18637
fpu:FPSE_03636	ko:K21804
fpu:FPSE_03642	ko:K03943
fpu:FPSE_03643	ko:K01904
fpu:FPSE_03645	ko:K03114
fpu:FPSE_03646	ko:K01493
fpu:FPSE_03647	ko:K08337
fpu:FPSE_03650	ko:K05287
fpu:FPSE_03652	ko:K20098
fpu:FPSE_03654	ko:K14560
fpu:FPSE_03655	ko:K02963
fpu:FPSE_03657	ko:K15303
fpu:FPSE_03662	ko:K00872
fpu:FPSE_03663	ko:K18339
fpu:FPSE_03668	ko:K19572
fpu:FPSE_03670	ko:K01469
fpu:FPSE_03672	ko:K10773
fpu:FPSE_03673	ko:K00121
fpu:FPSE_03675	ko:K17450
fpu:FPSE_03677	ko:K08876
fpu:FPSE_03681	ko:K23010
fpu:FPSE_03682	ko:K09705
fpu:FPSE_03683	ko:K23010
fpu:FPSE_03684	ko:K10392
fpu:FPSE_03687	ko:K01254
fpu:FPSE_03690	ko:K25815
fpu:FPSE_03695	ko:K01483
fpu:FPSE_03697	ko:K02929
fpu:FPSE_03698	ko:K17268
fpu:FPSE_03699	ko:K03627
fpu:FPSE_03702	ko:K23879
fpu:FPSE_03703	ko:K15507
fpu:FPSE_03704	ko:K11643
fpu:FPSE_03706	ko:K12177
fpu:FPSE_03718	ko:K22390
fpu:FPSE_03733	ko:K09423
fpu:FPSE_03734	ko:K01539
fpu:FPSE_03736	ko:K00505
fpu:FPSE_03738	ko:K28063
fpu:FPSE_03762	ko:K08141
fpu:FPSE_03766	ko:K08678
fpu:FPSE_03769	ko:K01647
fpu:FPSE_03773	ko:K01866
fpu:FPSE_03776	ko:K00451
fpu:FPSE_03777	ko:K00222
fpu:FPSE_03781	ko:K08095
fpu:FPSE_03784	ko:K01193
fpu:FPSE_03796	ko:K00485
fpu:FPSE_03801	ko:K22134
fpu:FPSE_03809	ko:K15855
fpu:FPSE_03812	ko:K08141
fpu:FPSE_03819	ko:K20498
fpu:FPSE_03821	ko:K00318
fpu:FPSE_03822	ko:K26141
fpu:FPSE_03823	ko:K00819
fpu:FPSE_03824	ko:K18660
fpu:FPSE_03831	ko:K00128
fpu:FPSE_03835	ko:K08141
fpu:FPSE_03836	ko:K13953
fpu:FPSE_03840	ko:K00232
fpu:FPSE_03849	ko:K19564
fpu:FPSE_03850	ko:K11370
fpu:FPSE_03852	ko:K24736
fpu:FPSE_03853	ko:K07432
fpu:FPSE_03854	ko:K17413
fpu:FPSE_03856	ko:K17819
fpu:FPSE_03857	ko:K03679
fpu:FPSE_03859	ko:K12398
fpu:FPSE_03860	ko:K00645
fpu:FPSE_03861	ko:K20301
fpu:FPSE_03862	ko:K18798
fpu:FPSE_03863	ko:K14300
fpu:FPSE_03864	ko:K03238
fpu:FPSE_03865	ko:K28712
fpu:FPSE_03866	ko:K27384
fpu:FPSE_03869	ko:K20815
fpu:FPSE_03873	ko:K02891
fpu:FPSE_03874	ko:K15109
fpu:FPSE_03877	ko:K10845
fpu:FPSE_03878	ko:K12663
fpu:FPSE_03879	ko:K22836
fpu:FPSE_03880	ko:K20463
fpu:FPSE_03883	ko:K01663
fpu:FPSE_03886	ko:K04640
fpu:FPSE_03887	ko:K25877
fpu:FPSE_03889	ko:K11204
fpu:FPSE_03893	ko:K17987
fpu:FPSE_03896	ko:K00615
fpu:FPSE_03897	ko:K19308
fpu:FPSE_03899	ko:K12845
fpu:FPSE_03900	ko:K02155
fpu:FPSE_03901	ko:K00223
fpu:FPSE_03902	ko:K22539
fpu:FPSE_03903	ko:K00968
fpu:FPSE_03905	ko:K01613
fpu:FPSE_03911	ko:K02932
fpu:FPSE_03925	ko:K16261
fpu:FPSE_03926	ko:K06679
fpu:FPSE_03927	ko:K17807
fpu:FPSE_03928	ko:K20042
fpu:FPSE_03929	ko:K07760
fpu:FPSE_03930	ko:K22377
fpu:FPSE_03936	ko:K05349
fpu:FPSE_03949	ko:K01876
fpu:FPSE_03954	ko:K01230
fpu:FPSE_03955	ko:K14769
fpu:FPSE_03957	ko:K18171
fpu:FPSE_03960	ko:K05351
fpu:FPSE_03963	ko:K01536
fpu:FPSE_03967	ko:K02983
fpu:FPSE_03968	ko:K12876
fpu:FPSE_03969	ko:K05349
fpu:FPSE_03972	ko:K10976
fpu:FPSE_03973	ko:K02219
fpu:FPSE_03975	ko:K23093
fpu:FPSE_03977	ko:K14401
fpu:FPSE_03978	ko:K14617
fpu:FPSE_03981	ko:K00326
fpu:FPSE_03982	ko:K01469
fpu:FPSE_03985	ko:K08192
fpu:FPSE_03991	ko:K10401
fpu:FPSE_03994	ko:K15901
fpu:FPSE_03998	ko:K23362
fpu:FPSE_04001	ko:K10703
fpu:FPSE_04003	ko:K19564
fpu:FPSE_04011	ko:K19069
fpu:FPSE_04020	ko:K07755
fpu:FPSE_04022	ko:K11811
fpu:FPSE_04023	ko:K15530
